Year,Female,Male
1973,57.8,20.13
1974,61.93,23.57
1976,59.93,21.72
1977,61.43,21.43
1980,59.73,19.91
1982,59.58,26.36
1984,55.93,18.33
1985,55.75,19.54
1987,55.39,15.48
1988,54.89,16.8
1989,55.0,20.57
1990,55.32,18.66
1991,59.55,23.9
1993,53.12,27.98
1994,58.33,30.62
1996,54.48,25.8
1998,51.03,24.03
2000,49.42,23.58
2002,46.58,20.74
2004,39.08,22.41
2006,44.62,23.39
2008,46.84,17.21
2010,41.42,23.1
2012,45.34,20.04
2014,37.79,22.18
2016,40.82,19.98
2018,42.83,21.46
2021,45.09,25.94
2022,48.05,25.77
