Year,White,Black,Other
1973,37.59,54.7,34.48
1974,41.63,57.69,35.72
1976,41.82,45.77,45.83
1977,40.92,60.48,16.67
1980,40.71,51.76,52.63
1982,42.96,58.25,53.57
1984,37.77,57.65,39.25
1985,35.66,60.48,54.17
1987,35.25,50.14,42.11
1988,37.27,47.78,17.97
1989,36.61,56.87,31.69
1990,37.03,44.1,49.52
1991,39.08,57.97,55.11
1993,38.58,51.08,60.77
1994,42.71,56.53,50.31
1996,38.89,54.62,42.33
1998,37.11,44.19,48.3
2000,35.67,41.73,41.2
2002,28.58,42.05,39.53
2004,27.54,39.51,48.71
2006,32.48,39.34,41.83
2008,30.9,42.66,33.79
2010,29.82,36.87,45.83
2012,30.71,40.5,39.11
2014,28.9,41.32,26.02
2016,28.77,35.79,36.04
2018,29.62,40.93,40.06
2021,33.34,45.0,42.42
2022,35.78,39.93,44.37
